代码,名称,行业,日期,放量倍数,涨幅%,收盘价,成交额(亿),市盈率,市净率
600179,安通控股,G58多式联运和运输代理业,2025-08-26,3.46,0.56,3.6,7.89,15.74,1.35
600345,长江通信,C39计算机、通信和其他电子设备制造业,2025-08-26,3.67,4.21,30.91,12.3,55.31,2.9
600539,狮头股份,F52零售业,2025-08-26,3.05,2.76,12.3,5.54,-112.44,8.78
600715,文投控股,R87广播、电视、电影和录音制作业,2025-08-26,3.27,3.56,2.62,7.52,-13.03,9.4
600817,宇通重工,C35专用设备制造业,2025-08-26,3.43,4.42,12.76,2.45,25.92,2.82
600883,博闻科技,C13农副食品加工业,2025-08-26,4.73,1.79,8.51,1.36,37.32,2.05
600963,岳阳林纸,C22造纸和纸制品业,2025-08-26,3.31,0.81,5.0,5.9,134.75,1.1
603017,中衡设计,M74专业技术服务业,2025-08-26,3.15,3.36,10.16,1.86,74.69,1.83
603669,灵康药业,C27医药制造业,2025-08-26,3.29,0.48,6.29,4.22,-35.98,6.73
603815,交建股份,E48土木工程建筑业,2025-08-26,4.57,2.36,9.56,5.63,35.41,2.47
605151,西上海,C36汽车制造业,2025-08-26,3.09,2.37,20.74,1.79,911.11,2.06
688161,威高骨科,C35专用设备制造业,2025-08-26,3.04,4.16,33.03,2.09,54.9,3.3
688163,赛伦生物,C27医药制造业,2025-08-26,3.66,4.15,26.63,1.57,64.1,2.6
000055,方大集团,C33金属制品业,2025-08-26,3.04,2.14,4.3,1.92,101.92,0.76
000828,东莞控股,G54道路运输业,2025-08-26,4.22,4.5,12.07,5.14,12.0,1.25
002091,江苏国泰,F51批发业,2025-08-26,4.79,1.91,8.52,12.79,11.96,0.91
002150,通润装备,C33金属制品业,2025-08-26,3.54,4.25,13.24,3.87,20.25,2.43
002191,劲嘉股份,C23印刷和记录媒介复制业,2025-08-26,3.36,0.65,4.62,6.02,513.66,1.01
002202,金风科技,C34通用设备制造业,2025-08-26,3.36,2.84,11.95,32.28,25.74,1.35
002668,TCL智家,C38电气机械和器材制造业,2025-08-26,3.39,4.54,11.05,5.56,10.93,4.4
002840,华统股份,C13农副食品加工业,2025-08-26,3.06,3.67,11.31,3.97,34.42,3.75
002877,智能自控,C34通用设备制造业,2025-08-26,4.15,4.18,9.22,2.71,384.65,2.78
002984,森麒麟,C29橡胶和塑料制品业,2025-08-26,3.15,4.68,20.57,11.32,10.42,1.57
301046,能辉科技,E48土木工程建筑业,2025-08-26,3.16,4.51,22.69,1.96,71.51,4.17
301287,康力源,C24文教、工美、体育和娱乐用品制造业,2025-08-26,3.03,4.74,44.41,2.51,36.81,2.59
