代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
600006,东风股份,C36汽车制造业,2025-08-11,3.8,3.8,7.64,8.01,True,4,12,-0.26,379.54,1.81
600030,中信证券,J67资本市场服务,2025-08-15,3.03,4.89,30.83,123.14,True,3,8,0.2,19.79,1.72
600067,冠城新材,C38电气机械和器材制造业,2025-08-20,3.1,4.35,3.14,2.31,True,4,5,-3.46,-7.18,0.8
600081,东风科技,C36汽车制造业,2025-08-11,4.13,4.58,13.65,3.24,True,2,12,0.5,70.2,1.64
600089,特变电工,C38电气机械和器材制造业,2025-08-21,3.06,5.57,14.22,37.85,True,2,4,-0.91,16.77,1.1
600106,重庆路桥,G54道路运输业,2025-07-31,4.48,5.05,6.45,4.85,True,2,19,11.63,41.02,1.65
600107,ST尔雅,C18纺织服装、服饰业,2025-08-22,3.43,3.04,5.43,1.4,True,2,3,4.79,-31.12,4.04
600109,国金证券,J67资本市场服务,2025-08-13,3.03,2.53,9.72,10.46,True,2,10,4.01,19.13,1.05
600115,中国东航,G56航空运输业,2025-08-15,3.66,4.16,4.01,7.5,True,2,8,2.49,-20.23,6.38
600120,浙江东方,J69其他金融业,2025-08-13,3.47,2.73,6.39,11.99,True,3,10,0.94,20.78,1.38
600153,建发股份,L72商务服务业,2025-08-14,4.89,5.42,10.9,7.63,True,2,9,4.31,10.8,0.56
600167,联美控股,D44电力、热力生产和供应业,2025-08-04,3.09,3.65,6.24,1.45,True,2,17,5.77,19.81,1.24
600176,中国巨石,C30非金属矿物制品业,2025-08-15,3.34,6.52,13.23,15.04,True,5,8,1.74,18.75,1.72
600198,大唐电信,C39计算机、通信和其他电子设备制造业,2025-08-05,4.72,5.54,8.96,6.24,True,3,16,2.57,408.1,47.13
600199,金种子酒,C15酒、饮料和精制茶制造业,2025-08-20,3.48,5.24,11.44,7.78,True,3,5,-3.06,-23.95,3.53
600217,中再资环,C42废弃资源综合利用业,2025-08-18,3.74,2.95,4.54,2.95,True,5,7,-1.76,447.08,2.18
600227,赤天化,C26化学原料和化学制品制造业,2025-08-18,3.16,4.55,2.53,1.67,True,2,7,1.98,-46.17,1.71
600230,沧州大化,C26化学原料和化学制品制造业,2025-08-19,3.17,3.99,13.55,4.83,True,3,6,-4.43,360.23,1.4
600251,冠农股份,C13农副食品加工业,2025-08-08,3.18,3.53,8.21,1.45,True,2,13,3.17,43.54,1.69
600257,大湖股份,A04渔业,2025-08-19,3.47,3.87,5.63,3.27,True,2,6,-1.42,-41.21,3.41
