代码,日期,放量倍数,涨幅%,收盘价,成交额(亿)
600421,2025-08-19,131.8,5.01,8.6,2.17
002231,2025-08-20,46.5,4.11,4.81,2.93
603626,2025-08-19,21.4,9.98,11.46,18.56
600107,2025-08-22,20.7,3.04,5.43,1.4
000800,2025-08-20,12.6,6.65,7.54,10.83
002052,2025-08-19,12.0,10.01,18.25,20.91
002272,2025-08-19,11.9,10.01,18.02,17.24
002177,2025-08-22,10.5,10.01,10.0,23.12
601609,2025-08-19,10.2,7.02,13.41,54.81
603909,2025-08-20,9.3,10.0,11.33,2.27
300542,2025-08-21,7.2,12.59,24.68,15.73
002838,2025-08-22,6.7,9.99,28.62,8.87
600979,2025-08-22,6.7,9.94,5.53,10.0
600715,2025-08-25,6.6,10.0,2.53,5.93
300701,2025-08-20,6.6,20.04,13.54,7.08
000002,2025-08-25,6.6,9.15,7.16,56.19
000592,2025-08-21,6.4,4.21,3.22,13.76
300686,2025-08-20,6.3,20.02,13.37,5.91
002364,2025-08-19,6.3,10.0,24.97,34.73
002692,2025-08-22,6.2,9.94,5.64,3.66
603159,2025-08-20,6.2,10.02,22.39,2.22
600371,2025-08-20,6.1,5.01,9.85,3.22
603332,2025-08-20,6.0,10.01,15.83,5.15
001390,2025-08-20,6.0,7.08,26.33,5.76
002117,2025-08-21,6.0,6.92,13.59,12.25
002109,2025-08-22,5.9,9.97,3.97,4.3
603998,2025-08-20,5.9,9.99,12.66,13.9
600743,2025-08-22,5.9,8.1,2.27,3.29
603032,2025-08-25,5.9,6.74,19.65,7.36
603038,2025-08-19,5.8,10.03,15.9,5.2
002191,2025-08-25,5.8,10.07,4.59,4.25
603227,2025-08-22,5.8,10.0,9.79,10.28
002445,2025-08-19,5.8,10.0,2.64,8.88
600383,2025-08-25,5.7,6.53,4.24,19.3
300379,2025-08-21,5.6,15.74,6.25,6.39
600795,2025-08-19,5.6,5.76,4.77,28.75
002283,2025-08-19,5.6,10.08,6.99,8.43
603101,2025-08-25,5.6,5.24,12.05,9.47
603395,2025-08-21,5.5,6.36,36.46,5.59
603008,2025-08-21,5.4,10.02,18.12,6.4
601872,2025-08-22,5.4,6.12,6.59,14.85
300057,2025-08-21,5.3,10.91,6.61,10.64
600149,2025-08-21,5.3,5.45,6.0,2.64
000710,2025-08-22,5.3,10.03,15.79,11.53
002091,2025-08-25,5.2,10.0,8.36,6.24
600794,2025-08-21,5.2,5.46,4.83,6.37
002202,2025-08-25,5.1,10.04,11.62,22.41
300314,2025-08-22,5.1,5.38,15.47,5.62
002544,2025-08-22,5.1,6.8,25.13,15.21
600026,2025-08-22,5.1,5.58,10.79,14.96
600346,2025-08-20,5.1,9.93,16.5,14.34
600503,2025-08-20,5.0,10.12,3.59,17.69
600356,2025-08-25,5.0,5.5,9.79,2.76
603169,2025-08-25,5.0,6.09,8.36,10.42
300241,2025-08-21,4.9,5.48,6.54,7.69
002571,2025-08-25,4.9,7.84,7.84,3.38
000536,2025-08-21,4.9,2.69,5.72,38.16
300833,2025-08-25,4.9,7.33,39.54,2.45
002540,2025-08-22,4.9,6.69,6.7,5.66
002310,2025-08-21,4.9,3.79,2.19,4.03
002871,2025-08-20,4.9,0.12,17.0,7.59
301108,2025-08-21,4.9,10.23,30.18,2.19
002761,2025-08-21,4.8,5.97,10.12,7.94
300418,2025-08-22,4.8,20.01,44.38,90.47
600345,2025-08-25,4.8,10.01,29.66,6.7
002146,2025-08-25,4.8,6.94,1.54,8.26
300338,2025-08-20,4.8,13.77,4.38,1.39
002397,2025-08-19,4.7,10.0,3.96,2.97
002322,2025-08-22,4.7,6.45,14.03,3.94
002304,2025-08-19,4.7,5.36,73.58,20.41
300342,2025-08-25,4.7,9.17,20.23,18.89
600463,2025-08-21,4.7,4.18,12.2,4.2
300029,2025-08-20,4.7,16.47,6.79,1.44
300848,2025-08-21,4.7,5.49,17.68,2.69
300265,2025-08-25,4.7,7.86,10.84,5.83
600566,2025-08-21,4.7,3.72,27.61,5.84
301617,2025-08-21,4.7,10.25,44.84,6.01
601798,2025-08-19,4.7,6.26,11.38,8.07
601059,2025-08-22,4.7,9.98,19.72,27.9
600606,2025-08-25,4.6,4.64,2.03,10.9
300445,2025-08-25,4.6,5.29,19.92,2.29
603022,2025-08-20,4.6,4.62,10.87,3.44
600841,2025-08-20,4.6,3.56,7.85,8.27
603681,2025-08-20,4.5,5.93,17.15,3.8
300774,2025-08-21,4.5,3.77,9.91,2.19
300991,2025-08-21,4.5,15.01,38.0,6.33
002082,2025-08-19,4.5,2.87,8.25,6.94
601788,2025-08-22,4.5,10.01,20.78,43.65
603021,2025-08-19,4.5,4.93,4.26,0.98
002566,2025-08-19,4.5,4.45,8.68,2.08
000610,2025-08-20,4.5,5.72,13.67,6.9
301590,2025-08-25,4.4,12.02,187.85,4.75
300948,2025-08-19,4.4,6.98,12.26,1.69
603187,2025-08-22,4.4,5.46,14.69,5.0
603633,2025-08-21,4.4,9.97,10.78,4.41
301026,2025-08-20,4.4,10.97,31.35,6.76
600737,2025-08-19,4.3,4.78,16.0,38.07
002632,2025-08-19,4.3,6.11,10.07,5.47
603053,2025-08-21,4.3,9.99,11.23,2.56
600425,2025-08-22,4.3,9.98,4.74,9.2
600722,2025-08-20,4.3,10.03,6.8,6.85
002207,2025-08-21,4.3,10.05,8.1,4.17
300480,2025-08-22,4.3,8.25,17.98,7.33
301125,2025-08-22,4.3,13.68,22.27,3.27
001979,2025-08-25,4.3,2.62,9.41,17.54
300697,2025-08-25,4.2,5.52,16.26,6.39
301035,2025-08-22,4.2,5.03,72.41,4.26
300920,2025-08-25,4.2,2.55,58.4,3.35
300772,2025-08-25,4.2,13.31,16.94,12.25
301363,2025-08-21,4.2,18.0,23.4,11.82
600362,2025-08-25,4.2,9.1,26.97,24.98
603798,2025-08-20,4.2,1.67,13.98,3.75
300113,2025-08-22,4.2,20.0,27.24,22.39
300810,2025-08-19,4.2,20.0,65.47,19.09
002623,2025-08-20,4.1,5.17,23.0,8.15
301589,2025-08-22,4.1,8.82,174.84,4.93
300997,2025-08-19,4.1,6.39,17.16,3.09
600764,2025-08-22,4.1,7.72,37.12,11.97
300345,2025-08-20,4.1,6.93,8.79,11.36
002164,2025-08-19,4.1,4.89,12.01,18.05
603097,2025-08-21,4.0,5.42,23.33,2.65
000683,2025-08-21,4.0,5.35,6.1,10.77
300621,2025-08-25,4.0,3.15,9.83,1.45
300053,2025-08-20,4.0,5.22,14.91,14.09
000570,2025-08-19,4.0,3.88,6.16,2.36
300791,2025-08-20,4.0,5.23,24.94,2.97
603110,2025-08-22,4.0,3.66,16.69,4.16
301381,2025-08-21,4.0,4.21,22.5,3.83
300259,2025-08-22,3.9,2.32,3.97,2.21
301272,2025-08-25,3.9,3.44,42.09,1.34
300983,2025-08-21,3.9,3.58,23.16,0.51
600048,2025-08-25,3.9,4.27,8.3,43.62
600711,2025-08-25,3.9,7.42,8.4,23.15
600500,2025-08-20,3.9,3.21,4.18,2.87
002828,2025-08-21,3.9,3.1,10.98,5.18
603316,2025-08-21,3.9,4.47,9.12,4.22
301109,2025-08-21,3.9,2.73,14.7,2.76
300155,2025-08-25,3.8,1.68,5.45,1.6
301267,2025-08-25,3.8,5.0,21.63,4.05
603222,2025-08-20,3.8,10.02,11.86,18.28
300587,2025-08-22,3.8,9.95,8.84,8.93
300712,2025-08-25,3.8,6.3,27.33,2.45
603322,2025-08-22,3.8,7.03,41.86,10.25
301192,2025-08-21,3.8,7.67,30.61,1.22
000902,2025-08-21,3.8,6.29,15.21,10.35
603977,2025-08-21,3.8,4.91,13.47,6.11
000062,2025-08-19,3.8,2.78,29.99,41.8
000069,2025-08-25,3.8,3.86,2.42,6.45
301009,2025-08-19,3.8,14.27,16.98,6.12
600480,2025-08-19,3.8,6.36,15.05,21.67
603100,2025-08-22,3.8,4.09,21.38,4.72
300938,2025-08-25,3.8,7.14,25.8,4.61
600110,2025-08-19,3.8,10.0,8.47,30.82
002429,2025-08-21,3.8,10.06,5.47,16.55
300605,2025-08-21,3.8,4.31,17.17,5.24
600089,2025-08-21,3.7,5.57,14.22,37.85
600325,2025-08-25,3.7,4.19,5.22,7.03
300353,2025-08-25,3.7,10.48,25.2,25.61
300465,2025-08-21,3.7,7.55,18.24,19.5
600361,2025-08-20,3.7,10.02,4.72,8.64
002243,2025-08-20,3.7,7.57,9.24,5.62
300478,2025-08-21,3.7,19.98,19.76,3.78
603158,2025-08-20,3.7,10.04,14.14,16.18
600703,2025-08-20,3.7,9.98,14.43,30.89
600696,2025-08-25,3.7,3.57,6.96,1.28
301210,2025-08-21,3.7,4.99,47.37,5.26
301008,2025-08-20,3.7,20.02,30.64,5.56
300917,2025-08-25,3.7,6.99,50.06,10.18
001255,2025-08-25,3.7,3.85,35.35,1.95
000878,2025-08-25,3.7,6.06,14.7,21.56
600489,2025-08-25,3.7,4.48,15.15,25.45
002212,2025-08-22,3.7,9.97,10.15,10.09
603048,2025-08-19,3.7,4.22,20.48,3.02
300022,2025-08-20,3.6,2.46,8.76,3.74
002199,2025-08-20,3.6,3.84,11.1,1.42
603256,2025-08-25,3.6,2.94,41.69,20.27
300454,2025-08-22,3.6,15.17,119.85,22.65
002290,2025-08-22,3.6,10.0,32.89,4.75
603696,2025-08-20,3.6,5.32,11.67,3.69
300098,2025-08-19,3.6,8.19,5.81,17.03
301041,2025-08-20,3.6,19.99,34.04,5.69
600058,2025-08-22,3.6,10.02,9.22,2.39
301558,2025-08-21,3.6,5.28,10.16,6.44
002180,2025-08-22,3.6,7.45,26.55,12.56
300010,2025-08-22,3.6,6.84,9.53,27.44
603086,2025-08-20,3.6,3.12,10.57,9.07
601226,2025-08-25,3.6,3.09,7.01,2.47
600315,2025-08-20,3.6,6.21,23.25,4.51
600930,2025-08-25,3.6,4.35,6.72,28.84
300825,2025-08-22,3.6,4.69,12.49,7.06
300072,2025-08-21,3.6,4.18,3.74,3.75
300018,2025-08-22,3.5,4.96,9.31,4.67
300215,2025-08-21,3.5,3.4,6.7,2.66
002004,2025-08-20,3.5,10.11,5.01,3.6
603049,2025-08-20,3.5,2.59,46.68,5.93
603029,2025-08-19,3.5,3.9,19.18,1.53
301259,2025-08-22,3.5,19.99,51.62,17.98
002613,2025-08-21,3.5,10.07,4.59,8.46
002541,2025-08-22,3.5,3.02,18.44,3.42
301500,2025-08-25,3.5,2.25,16.85,2.16
300785,2025-08-25,3.5,6.31,36.92,9.64
301052,2025-08-21,3.5,11.37,74.14,9.26
002023,2025-08-20,3.5,5.07,12.03,11.1
002476,2025-08-19,3.5,4.46,5.15,3.02
301040,2025-08-21,3.5,8.65,31.78,3.35
002263,2025-08-21,3.5,2.47,3.74,12.19
603928,2025-08-21,3.4,3.57,18.3,9.45
600187,2025-08-20,3.4,4.01,3.11,3.11
603327,2025-08-20,3.4,5.53,10.69,5.45
300191,2025-08-20,3.4,3.98,20.91,4.37
001309,2025-08-21,3.4,5.52,96.6,23.7
002685,2025-08-22,3.4,9.95,8.62,12.27
002323,2025-08-19,3.4,1.65,1.85,5.99
002382,2025-08-19,3.4,9.95,6.74,4.95
300680,2025-08-19,3.4,13.09,45.89,14.7
002803,2025-08-21,3.4,3.54,17.57,7.03
002493,2025-08-20,3.4,7.28,9.73,8.05
002575,2025-08-20,3.4,9.95,8.84,5.12
002717,2025-08-25,3.4,4.85,1.73,2.49
300798,2025-08-21,3.3,3.85,9.43,4.74
300947,2025-08-25,3.3,5.68,23.61,3.08
300269,2025-08-22,3.3,6.97,5.83,7.53
301062,2025-08-19,3.3,4.44,9.17,3.21
301362,2025-08-25,3.3,9.19,48.97,2.27
600284,2025-08-21,3.3,6.38,7.67,3.39
600340,2025-08-25,3.3,3.6,2.3,6.65
001209,2025-08-22,3.3,3.26,19.66,1.69
000301,2025-08-20,3.3,4.75,9.26,2.99
002326,2025-08-19,3.3,2.47,15.78,20.35
603958,2025-08-25,3.3,5.24,18.06,3.04
000560,2025-08-25,3.3,5.32,3.17,11.26
002658,2025-08-21,3.3,4.24,8.6,4.26
300003,2025-08-25,3.3,13.55,20.62,24.41
002123,2025-08-21,3.3,5.03,16.08,24.75
601010,2025-08-19,3.3,3.44,2.71,2.26
002115,2025-08-25,3.2,3.58,8.98,12.29
000554,2025-08-20,3.2,3.62,7.15,3.3
300911,2025-08-25,3.2,9.04,58.62,6.66
000601,2025-08-21,3.2,5.75,5.7,6.38
300949,2025-08-21,3.2,4.82,44.55,1.88
300747,2025-08-25,3.2,8.94,31.68,15.14
300868,2025-08-25,3.2,4.23,33.04,2.38
300171,2025-08-21,3.2,3.9,15.73,4.62
301051,2025-08-21,3.2,6.49,26.42,5.19
301071,2025-08-21,3.2,1.96,31.76,4.64
603601,2025-08-19,3.2,6.25,6.12,13.9
603586,2025-08-21,3.2,0.96,22.16,7.64
301190,2025-08-21,3.2,6.73,27.44,2.45
301303,2025-08-22,3.2,4.07,18.16,2.46
603083,2025-08-20,3.2,2.81,66.65,42.28
301396,2025-08-25,3.2,20.0,73.93,19.82
601121,2025-08-25,3.2,4.96,6.98,2.33
000012,2025-08-21,3.2,1.88,4.89,2.02
300918,2025-08-22,3.2,10.02,22.4,12.73
